framerate = 10f
Time (us), Accel_X (mG), Accel_Y (mG), Accel_Z (mG), Gyro_X (mRad/s), Gyro_Y (mRad/s), Gyro_Z (mRad/s), Mag_X (mGauss), Mag_Y (mGauss), Mag_Z (mGauss)
6500642610, 2, -34, -997, -3, 0, 0, 207, 212, 191
6500742481, 0, -26, -996, -4, 0, -1, 207, 212, 190
6500742481, 0, -26, -996, -4, 0, -1, 207, 212, 190
6500842424, 2, -27, -997, -4, 0, 0, 207, 208, 185
6500842424, 2, -27, -997, -4, 0, 0, 207, 208, 185
6500942511, -2, -31, -1003, -3, 1, -1, 207, 214, 190
6500942511, -2, -31, -1003, -3, 1, -1, 207, 214, 190
6501042435, 2, -27, -1001, -4, 1, -1, 207, 213, 190
6501042435, 2, -27, -1001, -4, 1, -1, 207, 213, 190
6501142455, 3, -29, -1005, -2, 3, 0, 207, 217, 193
6501142455, 3, -29, -1005, -2, 3, 0, 207, 217, 193
6501242549, -1, -26, -996, -3, 3, -3, 206, 217, 192
6501242549, -1, -26, -996, -3, 3, -3, 206, 217, 192
6501342463, 0, -18, -996, -4, 1, 0, 207, 218, 192
6501342463, 0, -18, -996, -4, 1, 0, 207, 218, 192
6501442447, -1, -29, -999, -5, 5, -3, 206, 218, 192
6501442447, -1, -29, -999, -5, 5, -3, 206, 218, 192
6501542479, 0, -41, -997, -3, 1, -3, 206, 217, 191
6501542479, 0, -41, -997, -3, 1, -3, 206, 217, 191
6501642483, 3, -27, -1001, -2, -1, -4, 206, 214, 188
6501642483, 3, -27, -1001, -2, -1, -4, 206, 214, 188
6501742434, -2, -21, -1000, -3, 1, -4, 206, 212, 186
6501742434, -2, -21, -1000, -3, 1, -4, 206, 212, 186
6501842568, 0, -24, -1001, -3, 0, -5, 206, 204, 176
6501842568, 0, -24, -1001, -3, 0, -5, 206, 204, 176
6501942473, 5, -18, -1001, -5, 2, 0, 207, 204, 176
6501942473, 5, -18, -1001, -5, 2, 0, 207, 204, 176
6502042495, 4, -28, -1000, -4, 3, 0, 206, 213, 186
6502042495, 4, -28, -1000, -4, 3, 0, 206, 213, 186
6502148005, 0, -14, -996, -3, 0, -4, 206, 222, 194
6502148005, 0, -14, -996, -3, 0, -4, 206, 222, 194
6502242468, 4, -23, -1003, -3, 0, -4, 206, 217, 187
6502242468, 4, -23, -1003, -3, 0, -4, 206, 217, 187
6502342420, 5, -17, -997, -4, 0, -1, 206, 215, 185
6502342420, 5, -17, -997, -4, 0, -1, 206, 215, 185
6502442464, 1, -23, -1000, -4, 2, 0, 205, 222, 192
6502442464, 1, -23, -1000, -4, 2, 0, 205, 222, 192
6502542491, 4, -25, -1004, -1, 0, -6, 205, 223, 192
6502542491, 4, -25, -1004, -1, 0, -6, 205, 223, 192
6502642524, 0, -35, -1002, -2, 2, -7, 205, 220, 188
6502642524, 0, -35, -1002, -2, 2, -7, 205, 220, 188
6502742584, 2, -37, -1003, -4, 0, -3, 205, 224, 192
6502742584, 2, -37, -1003, -4, 0, -3, 205, 224, 192
6502842468, -1, -32, -1001, -3, 0, 0, 205, 220, 186
6502842468, -1, -32, -1001, -3, 0, 0, 205, 220, 186
6502942473, -2, -27, -1002, -3, 2, -4, 205, 226, 192
6502942473, -2, -27, -1002, -3, 2, -4, 205, 226, 192
6503042527, 4, -27, -998, -2, 0, -3, 205, 225, 190
6503042527, 4, -27, -998, -2, 0, -3, 205, 225, 190
6503142541, 1, -28, -998, -4, 2, 0, 205, 227, 192
6503142541, 1, -28, -998, -4, 2, 0, 205, 227, 192
